valor,abreviado,probation,absolucion,arresto,multa,inhabilitacion,spp_dias,tareas_horas,abstenerse,insumos,curso
1.01,0,1,0,0,0,0,150,16,15,0,1
0.83,0,1,0,0,0,0,120,10,10,0,1
0.52,1,0,0,0,1500,0,0,0,0,0,0
1.17,1,0,0,3,50,210,0,0,20,0,0
0.57,0,1,0,0,0,0,0,0,0,0,0
0.67,1,0,0,1,50,0,0,0,0,0,1
0.68,0,1,0,0,0,0,90,0,7,1000,1
0.58,0,1,0,0,0,0,0,0,0,0,1
0.51,0,0,1,0,0,0,0,0,0,0,0
0.58,1,0,0,0,1200,40,0,0,0,0,1
0.96,1,0,0,0,1500,0,0,0,0,0,0
0.51,0,0,1,0,0,0,0,0,0,0,0
0.51,0,0,1,0,0,0,0,0,0,0,0
1.38,1,0,0,0,1500,0,0,0,0,0,1
0.51,0,0,1,0,0,0,0,0,0,0,0
0.59,0,1,0,0,0,0,180,0,7,700,1
1.22,0,1,0,0,0,0,240,0,25,2800,1
1.2,0,1,0,0,0,0,210,0,20,2200,0
0.09,0,1,0,0,0,0,90,0,2,0,1
0.51,0,0,1,0,0,0,0,0,0,0,0
0.56,0,1,0,0,0,0,90,0,7,4280,0
1.1,0,1,0,0,0,0,150,0,15,8560,1
0.7,0,1,0,0,0,0,90,0,7,6420,0
0.55,0,1,0,0,0,0,90,0,7,4280,0
1.2,0,1,0,0,0,0,150,0,15,8560,1
0.69,0,1,0,0,0,0,90,0,7,6420,0
0.56,0,1,0,0,0,0,90,12,7,0,0
0.56,0,1,0,0,0,0,90,12,7,0,0
0.6,0,1,0,0,0,0,90,0,7,4280,0
0.83,0,1,0,0,0,0,120,10,10,0,1
1.08,1,0,0,0,2000,10,0,0,0,0,0
1.08,1,0,0,0,2000,10,0,0,0,0,0
1.82,0,1,0,0,0,0,0,36,0,0,0
1.82,0,1,0,0,0,0,0,36,0,0,0
1.08,1,0,0,0,2000,10,0,0,0,0,0
1.08,1,0,0,0,2000,10,0,0,0,0,0
1.52,0,1,0,0,0,0,180,0,25,12840,1
0.55,0,1,0,0,0,0,90,0,7,4280,0
0.78,0,1,0,0,0,0,90,0,7,6420,0
1.08,0,1,0,0,0,0,150,16,15,0,1
0.6,0,1,0,0,0,0,90,0,7,4280,0
0.88,1,0,0,3,50,0,0,0,15,0,1
0.88,1,0,0,3,50,0,0,0,15,0,1
0.73,0,1,0,0,0,0,90,18,7,0,0
0.66,0,1,0,0,0,0,0,0,0,0,1
0.66,0,1,0,0,0,0,0,0,0,0,1
0.54,0,1,0,0,0,0,90,12,7,0,0
1.34,0,1,0,0,0,0,150,24,20,0,1
0.54,0,1,0,0,0,0,90,0,7,4280,0
0.54,0,1,0,0,0,0,90,12,7,0,0
1.34,0,1,0,0,0,0,150,24,20,0,1
0.65,0,1,0,0,0,0,90,0,7,6420,0
0.54,0,1,0,0,0,0,90,0,7,4280,0
0.54,0,1,0,0,0,0,90,12,7,0,0
0.73,0,1,0,0,0,0,90,0,0,8560,0
0.91,0,1,0,0,0,0,120,10,10,0,1
0.87,0,1,0,0,0,0,120,0,10,0,1
1.08,0,1,0,0,0,0,150,0,15,8560,1
1.04,0,1,0,0,0,0,150,16,15,0,1
0.68,0,1,0,0,0,0,90,0,7,0,0
0.94,0,1,0,0,0,0,120,10,10,0,1
0.62,0,1,0,0,0,0,90,0,7,0,0
1.01,0,1,0,0,0,0,0,0,0,0,0
0.96,0,1,0,0,0,0,120,10,10,0,1
0.26,0,1,0,0,0,0,90,0,8,0,0
0.64,0,1,0,0,0,0,180,30,0,12840,1
1.17,0,1,0,0,0,0,150,24,15,0,1
1.46,0,1,0,0,0,0,150,24,20,0,1
1.19,0,1,0,0,0,0,150,0,15,8560,1
0.57,0,1,0,0,0,0,90,0,7,0,0
2.62,0,1,0,0,0,0,210,0,35,14980,1
0.78,0,1,0,0,0,0,90,18,7,0,0
0.98,0,1,0,0,0,0,120,0,10,7490,1
0.57,0,1,0,0,0,0,90,12,7,0,0
1.79,0,1,0,0,0,0,180,0,25,0,1
1.13,1,0,0,0,1800,15,0,0,0,0,0
0.62,0,1,0,0,0,0,90,0,7,6420,0
0.71,0,1,0,0,0,0,90,18,7,0,0
1.96,0,1,0,0,0,0,210,0,28,13910,1
1.04,0,1,0,0,0,0,150,0,15,8560,1
0.64,0,1,0,0,0,0,90,0,7,6420,0
1.23,0,1,0,0,0,0,150,0,15,8560,1
0.7,0,1,0,0,0,0,90,18,7,0,0
1.97,0,1,0,0,0,0,180,0,30,0,1
1.25,0,1,0,0,0,0,150,16,15,0,1
0.68,0,1,0,0,0,0,90,0,7,6420,0
0.68,0,1,0,0,0,0,150,0,18,6420,1
1.26,0,1,0,0,0,0,150,0,7,10700,1
0.64,0,1,0,0,0,0,90,18,7,0,0
1.12,0,1,0,0,0,0,150,0,15,8560,1
0.77,1,0,0,0,50,0,0,0,0,0,0
